city,pano_id,key,kind,arm,prompt,projection,fov,variant,pano_w,pano_h,view_px,prompt_x,prompt_y,gold_cx,gold_cy,gold_w,gold_h,sam_cx,sam_cy,sam_w,sam_h,iou,gold_frac_covered,mask_frac_in_gold,pred_iou,mask_px,mask_touches_edge,depression_deg,band
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_equirect,boxcenter,equirect,60,pt_multi,16384,8192,2731,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.14059,0.51758,0.008,0.00293,0.66798,0.77836,0.87759,0.58594,1593,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_equirect,boxcenter,equirect,60,pt_single,16384,8192,2731,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.14041,0.51764,0.00775,0.00305,0.65126,0.77023,0.88156,0.52734,2001,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_equirect,boxcenter,equirect,60,ptbox_multi,16384,8192,2731,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.14059,0.51752,0.00958,0.00305,0.62843,0.84052,0.8536,0.65625,2541,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_equirect,boxcenter,equirect,60,ptbox_single,16384,8192,2731,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.14059,0.51752,0.00958,0.00305,0.62843,0.84052,0.8536,0.65625,2541,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_equirect,boxcenter,equirect,76,pt_multi,16384,8192,3459,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.14267,0.5174,0.0047,0.00281,0.38863,0.42862,0.93863,0.62891,994,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_equirect,boxcenter,equirect,76,pt_single,16384,8192,3459,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.14221,0.51752,0.00427,0.00281,0.40101,0.42453,0.95573,0.60156,881,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_equirect,boxcenter,equirect,76,ptbox_multi,16384,8192,3459,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.14062,0.5174,0.00964,0.00281,0.67234,0.84052,0.90054,0.66797,2755,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_equirect,boxcenter,equirect,76,ptbox_single,16384,8192,3459,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.14062,0.5174,0.00964,0.00281,0.67234,0.84052,0.91724,0.70312,2598,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_equirect,boxcenter,equirect,90,pt_multi,16384,8192,4096,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.14059,0.51782,0.00812,0.00317,0.57699,0.7456,0.864,0.375,1647,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_equirect,boxcenter,equirect,90,pt_single,16384,8192,4096,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.14069,0.51794,0.00769,0.00293,0.50745,0.64215,0.86004,0.42969,1429,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_equirect,boxcenter,equirect,90,ptbox_multi,16384,8192,4096,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.13974,0.51746,0.00995,0.00317,0.63239,0.88015,0.87322,0.67188,2950,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_equirect,boxcenter,equirect,90,ptbox_single,16384,8192,4096,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.13992,0.51733,0.01019,0.00293,0.66539,0.88015,0.92429,0.69922,2800,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_gnomonic,boxcenter,gnomonic,60,pt_multi,16384,8192,2731,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.14246,0.51758,0.00431,0.00309,0.38114,0.42426,0.87333,0.74219,821,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_gnomonic,boxcenter,gnomonic,60,pt_single,16384,8192,2731,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.14074,0.51764,0.00748,0.00323,0.63151,0.76337,0.87342,0.79688,790,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_gnomonic,boxcenter,gnomonic,60,ptbox_multi,16384,8192,2731,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.14047,0.51764,0.0091,0.00324,0.61182,0.82948,0.84647,0.66406,2208,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_gnomonic,boxcenter,gnomonic,60,ptbox_single,16384,8192,2731,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.1405,0.51751,0.0093,0.00297,0.64753,0.82954,0.8729,0.71094,2085,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_gnomonic,boxcenter,gnomonic,76,pt_multi,16384,8192,3459,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.1408,0.51776,0.00763,0.00331,0.58322,0.74268,0.82647,0.47266,899,0,3.0672,>36 m / horizon
sao_paulo,--g3UwVswwny7hOlxl77-w,missed:0,missed,boxcenter_gnomonic,boxcenter,gnomonic,76,pt_single,16384,8192,3459,0.1404,0.51704,0.1404,0.51704,0.00806,0.00308,0.14238,0.51805,0.00418,0.00273,0.27713,0.31664,0.81557,0.52734,591,0,3.0672,>36 m / horizon
