user_id,edits,labels,cities,sources,tags_changed,from_empty,who,role
05e559a2-53ef-4d00-bccf-6a83544b8241,1236,1227,4,ExternalTagValidationASSETS2024,1236,580,,Researcher
162d09a0-90ca-4126-a73d-6b22e6ed7e54,1170,1158,9,ExternalTagValidationASSETS2024,1170,450,kevinwu,Administrator
96c6caca-4803-4469-901c-735d1ea7aef3,967,967,6,ExternalTagValidationASSETS2024,967,469,,Researcher
fda1f1bd-2638-4684-ab1b-f43f47f12176,955,945,10,ExternalTagValidationASSETS2024,955,523,,Researcher
549187e0-82c9-4014-a48d-31f18083d575,251,247,15,"ExpertValidate, Explore, GalleryExpanded",232,107,jonfroehlich,Owner
51b0b927-3c8a-45b2-93de-bd878d1e5cf4,230,230,18,SidewalkAI,65,0,SidewalkAI,
92bce82b-7333-4728-8619-14dec8084530,205,205,1,ExpertValidate,157,100,swaechter,Administrator
18b26a38-24ab-402d-a64e-158fc0bb8a8a,157,157,10,ExpertValidate,138,93,mikey,Owner
7af5462d-6b60-451f-9de8-2f3b5bf33f9f,105,105,1,ExpertValidate,92,67,amybrewer,Administrator
940541a8-1336-4edf-bd66-a0cb9cf7aab9,103,103,3,"ExpertValidate, ExternalTagValidationASSETS2024",103,21,minchu,Administrator
a7dc1b68-0082-46bd-929b-9056cc31b7dd,80,80,2,"ExpertValidate, Validate",26,13,yeisenberg,Administrator
ea873d40-2345-46f8-85b0-ddd72e5cd2d5,17,17,1,ExpertValidate,2,2,bray1617,Administrator
325198df-cddc-44ee-a87e-c831c3147aa0,11,11,1,ExpertValidate,11,6,lfram2,Administrator
1e9bbbb3-d23e-4850-8ffb-2dc6dffb8718,4,4,1,"ExpertValidate, Validate",2,2,sarahhenkel,Administrator
02cf3d4a-26f8-48c5-86da-93e0912bd387,4,4,1,Explore,0,0,,
751e5505-4385-4fec-9a3c-e75563d62b5e,4,4,1,Explore,0,0,,
e3849ac5-c5f5-4df4-ae85-5a09c753f458,4,1,1,Explore,4,2,,
1b14166c-0d20-4c27-99d0-eaaf0f7a8f28,3,2,1,Explore,2,2,,
010396d7-efc9-4545-b281-966d147a6b31,3,3,1,"Explore, Validate",2,1,,
d50065d3-d808-43b8-80f3-92d47a7b04a1,3,1,1,Explore,1,1,,
a08d9888-9eb3-4c04-ae1b-9ce711fbae4c,3,3,1,Explore,2,1,,
6f2a7027-b32b-47d5-92da-d53607dde2a1,2,1,1,Explore,1,1,,
8b52f466-8905-4b67-8433-23eadffeac2f,2,2,1,Explore,2,2,,
