set,order,city,label_id,pano_id,pano_source,time_created,hf_split,hf_filename,pano_x,pano_y,pano_width,pano_height,heading,pitch,zoom,camera_heading,camera_pitch,camera_roll,canvas_x,canvas_y
hf_validated,0,chicago-il,28878,xQPDSAzwdk7OBHJpc5oUdw,gsv,2023-08-03T16:38:17.392Z,train,gsv-chicago-28878-CurbRamp.png,4373,5026,16384,8192,121.5,-24.3125,1.0,180.99169921875,0.7626699805259705,,208,227
hf_validated,1,seattle-wa,178655,MTN1dfONRo_jv7TKQn1AOg,gsv,2021-08-05T17:06:05.691Z,train,gsv-seattle-178655-CurbRamp.png,1982,4900,16384,8192,157.5736541748047,-19.0,3.0,292.2887878417969,-0.015533447265625,,318,206
hf_validated,2,seattle-wa,234282,ao3BFTP6H8-4LzbHtbM7mQ,gsv,2023-02-22T01:09:13.181Z,train,gsv-seattle-234282-CurbRamp.png,9218,4659,16384,8192,66.77232360839844,-22.207590103149414,2.0,53.98065185546875,1.7158399820327759,,483,117
hf_validated,3,seattle-wa,191021,pVgjivpLlM4EfS0GgToHHw,gsv,2021-12-10T19:38:19.203Z,train,gsv-seattle-191021-CurbRamp.png,7149,4707,16384,8192,65.97714233398438,-16.88785743713379,2.0,94.41775512695312,1.17919921875,,428,197
hf_validated,4,oradell-nj,3133,xqXR6kvdlOyHu9k5bcF-SQ,gsv,2022-04-23T00:10:00.572Z,train,gsv-oradell-3133-CurbRamp.png,3920,4584,16384,8192,145.28125,-14.390625,3.0,243.36758422851562,-0.9239578247070312,,466,147
hf_validated,5,columbus-oh,1569,0B2gLFTklLnDxK6XlCZZCw,gsv,2019-12-05T00:50:36.088Z,train,gsv-columbus-1569-CurbRamp.png,3912,3678,13312,6656,246.0,-16.25,1.0,320.3622741699219,-0.377349853515625,,361,197
hf_validated,6,columbus-oh,20665,f9h1AuCpaLBjs0jNGC905A,gsv,2020-12-15T16:09:43.824Z,train,gsv-columbus-20665-CurbRamp.png,979,4665,16384,8192,269.9375,-27.875,1.0,48.05521011352539,-0.9327239990234375,,225,146
hf_validated,7,oradell-nj,7413,R88NrKLZ93cgZO2H6ed6Pw,gsv,2022-07-14T16:08:54.557Z,train,gsv-oradell-7413-CurbRamp.png,14472,4627,16384,8192,83.3125,-13.9375,2.0,291.0384216308594,0.5024948120117188,,180,216
hf_validated,8,chicago-il,15341,j_NEe5cIT4fH8qiKQ65Yig,gsv,2022-10-23T04:01:29.768Z,train,gsv-chicago-15341-CurbRamp.png,8768,4402,16384,8192,282.2427673339844,-8.026249885559082,3.0,267.3431396484375,0.1244354248046875,,303,207
hf_validated,9,seattle-wa,179929,2byW1ooIaN40VeEvsHIUlQ,gsv,2021-08-09T04:55:12.827Z,test,gsv-seattle-179929-CurbRamp.png,14751,5072,16384,8192,76.0625,-9.625,1.0,267.6858215332031,-1.3019790649414062,,206,328
