filename,city,label_id,pano_id,pano_in_train,nearest_train_m,missing-tactile-warning,narrow,not-enough-landing-space,not-level-with-street,parallel-lines,points-into-traffic,pooled-water,steep,surface-problem,tactile-warning,prob:missing-tactile-warning,prob:narrow,prob:not-enough-landing-space,prob:not-level-with-street,prob:parallel-lines,prob:points-into-traffic,prob:pooled-water,prob:steep,prob:surface-problem,prob:tactile-warning
gsv-pittsburgh-9291-CurbRamp.png,pittsburgh-pa,9291,P8PA9bXlPnei1v7MNChLGQ,True,12.400605,1,0,0,0,0,1,0,0,0,0,0.998695,1e-06,0.000203,1e-06,0.0,0.0,4e-06,0.0,2.3e-05,0.0
gsv-pittsburgh-10833-CurbRamp.png,pittsburgh-pa,10833,fHEg62KQBAHbpNK1uEIsNg,False,75.983737,1,0,0,0,0,1,0,0,0,0,0.999505,1e-06,3.9e-05,0.0,0.0,0.0,1e-06,0.0,3e-06,0.0
gsv-pittsburgh-15469-CurbRamp.png,pittsburgh-pa,15469,PMdtMPANZH9M4nbLWIfIkA,True,2.538429,0,0,0,0,0,0,0,0,0,0,1e-06,2e-06,0.0,4e-06,0.0,2e-06,2e-06,0.0,1e-06,2.2e-05
gsv-pittsburgh-14532-CurbRamp.png,pittsburgh-pa,14532,zb8poYJHvbJZ3cz8-AHcOg,True,14.146907,1,0,0,1,0,0,0,0,1,0,0.999058,0.0,2e-06,0.001534,0.0,4e-06,1e-06,0.0,0.001077,0.0
gsv-pittsburgh-11619-CurbRamp.png,pittsburgh-pa,11619,Kt9_aJYTCtMPO--E-UwpHQ,False,13.785288,0,0,1,0,0,0,0,0,0,0,0.0,2.6e-05,0.000157,0.0,0.0,7e-06,0.0,0.0,0.0,8e-06
gsv-pittsburgh-6684-CurbRamp.png,pittsburgh-pa,6684,jIxBX30SWOeWh2vSzY2Qaw,False,81.47452,1,0,1,0,0,0,0,0,1,0,0.999288,0.000509,0.000224,0.037301,0.0,0.010429,0.001244,3.3e-05,0.999999,7e-06
gsv-pittsburgh-4076-CurbRamp.png,pittsburgh-pa,4076,EHrsbFMdudQ9R7C42oGSVA,True,23.595607,1,0,1,0,0,1,0,0,0,0,0.999999,1e-06,0.0,7e-06,0.0,0.056116,0.0,0.0,0.0,0.0
gsv-pittsburgh-6073-CurbRamp.png,pittsburgh-pa,6073,W8PsYCxlq4czfZU3DxR_xA,False,2.293536,0,0,0,0,0,1,1,0,0,0,0.0,1e-06,0.0,0.0,0.0,1.9e-05,2e-06,0.0,0.000635,2e-06
gsv-pittsburgh-16216-CurbRamp.png,pittsburgh-pa,16216,4TGGGwjI4WsB4j84W8wv8w,True,5.609263,0,0,0,0,0,0,0,0,0,0,0.0,0.343046,0.001621,3e-06,0.0,0.0,6.9e-05,2e-06,3e-06,1.7e-05
gsv-pittsburgh-11848-CurbRamp.png,pittsburgh-pa,11848,lwaDaoMyPG5WH13VsDyOQQ,False,232.913828,1,0,0,0,0,1,0,0,0,0,1.0,2e-06,0.034743,4.5e-05,0.0,0.994051,3e-06,2.4e-05,3e-06,0.0
gsv-pittsburgh-11614-CurbRamp.png,pittsburgh-pa,11614,N-cim7QB57Qt8Ohb0NnFHQ,False,17.869153,0,1,0,0,0,0,0,0,0,0,1e-06,1e-06,1e-06,3e-06,0.0,0.0,1e-06,0.0,1e-06,5e-06
gsv-pittsburgh-16389-CurbRamp.png,pittsburgh-pa,16389,Xwd7-oKBDCaMWHq0Ate5Iw,True,11.730213,0,0,0,1,0,0,0,0,0,0,2e-06,0.0,1e-06,4.3e-05,0.0,0.0,8e-06,0.0,0.0,9.8e-05
gsv-pittsburgh-12779-CurbRamp.png,pittsburgh-pa,12779,_OdbzsfGYr5OazXXaqNHSA,False,4.005275,1,0,0,1,0,1,0,0,0,0,0.997677,0.0,0.0,1.3e-05,0.0,0.000112,1.3e-05,0.0,0.0,0.0
gsv-pittsburgh-15285-CurbRamp.png,pittsburgh-pa,15285,Io9btWNn_Clbt1Hv76wnMw,True,9.354866,1,0,0,1,0,1,0,0,0,0,0.999999,1e-06,0.447546,1e-06,0.0,3e-05,0.0,0.0,0.000605,0.0
gsv-pittsburgh-11038-CurbRamp.png,pittsburgh-pa,11038,YMnn390W-O64Sg6CoKsMHg,False,340.422181,1,0,0,0,0,0,0,0,0,0,0.999982,0.0,2e-06,4e-06,0.0,1.4e-05,2e-06,0.0,0.0,0.0
gsv-pittsburgh-15444-CurbRamp.png,pittsburgh-pa,15444,NK-JJYgNdkrespLgCee72Q,True,4.979401,0,0,0,0,0,1,0,0,0,0,3e-06,1e-06,1e-06,2.7e-05,0.0,7e-06,3e-06,0.0,0.0,2e-06
gsv-pittsburgh-15082-CurbRamp.png,pittsburgh-pa,15082,nxLdl08ZuNAdps_MFcTDLA,True,0.929739,1,0,0,0,0,0,0,0,1,0,0.999042,1e-06,1e-05,0.0,0.0,0.0,8e-06,0.0,0.000238,0.0
gsv-pittsburgh-9263-CurbRamp.png,pittsburgh-pa,9263,QkxTcm5qgfQjq_4wDhLOvg,False,20.491925,0,0,1,0,0,1,0,0,0,0,0.982195,6e-06,0.0,0.000488,0.0,0.0,7e-06,0.0,0.0,0.0
gsv-pittsburgh-16460-CurbRamp.png,pittsburgh-pa,16460,iexp44g8aogv85pdfacNRA,True,5.488077,0,0,0,0,0,0,0,0,0,0,2e-06,0.0,0.0,3e-06,0.0,2e-06,1e-06,0.0,0.0,4e-06
